"King","Reign Period (B.C.)","Years Reigned","Parent","Citation Index"
"Rehoboam","930 - 913","17","Solomon",52
"Abijah (a.k.a. Abijam & Abia)","913 - 910","3","Rehoboam",53
"Asa (co-regent)","910 - 869","41","Abijah",54
"Jehoshaphat (co-regent)","873 - 848","25","Asa & Azubah",55
"Jehoram (a.k.a. Joram in 1 Ch. 3:11) (co-regent)","849 - 841","8","Jehoshaphat",56
"Ahaziah","841 - 841","1","Jehoram",57
"Joash (a.k.a. Jehoash in 2 Ki. 12:1)","835 - 796","40","Ahaziah",58
"Amaziah (co-regent)","796 - 767","29","Joash & Jehoaddan",59
"Azariah (a.k.a. Uzziah in 2 Ch. 26:3) (co-regent)","792 - 740","52","Amaziah & Jecholiah",60
"Jotham","750 - 732","16","Azariah",61
"Ahaz","732 - 716","16","Jotham",62
"Hezekiah (co-regent)","716 - 687","29","Ahaz & Abijah",63
"Manasseh (co-regent)","697 - 642","55","Hezekiah & Hephzibah",64
"Amon","642 - 640","2","Manasseh",65
"Josiah","640 - 609","31","Amon & Jedidah",66
"Jehoahaz","609 - 609","3months","Josiah",67
"Jehoiakim","609 - 598","11","Josiah & Zebudah",68
"Jeconiah (a.k.a. Jehoiachin)","598 - 597 (Siege of Jerusalem)","3months & 10days","Jehoiakim",69
"Mattaniah (renamed Zedekiah in 2 Ki. 24:17)","597 - 586","11","Josiah",70
