"King","Reign Period (B.C.)","Years Reigned","Scriptural Occurrences","Citation Index"
"Adad-nirari II","911 - 891","20",NULL,15
"Tukulti-Ninurta II","890 - 884","6",NULL,16
"Ashurnasirpal II","884 - 859","25",NULL,17
"Shalmaneser III","859 - 825","34",NULL,18
"Shamshi-Adad V","825 - 810","15",NULL,19
"Adad-nirari III","810 - 783","27",NULL,20
"Shalmaneser IV","783 - 773","10",NULL,21
"Ashur-dan III","773 - 755","18",NULL,22
"Ashur-nirari V","755 - 745","10",NULL,23
"Tiglath-Pileser III (a.k.a. Pul)","745 - 725","20","2 Kings 15:19. 1 Chronicles 5:26.",24
"Shalmaneser V","725 - 721","4","2 Kings 17:3, 18:9.",25
"Sargon II","721 - 705","16","Isaiah 20:1",26
"Sennacherib","705 - 681","24","2 Kings 18:13, 19:16-36. 2 Chronicles 32:1-22. Isaiah 36:1, 37:17-21, 37:37.",27
"Esarhaddon","681 - 669","12","2 Kings 19:37. Ezra 4:2. Isaiah 37:38.",28
"Ashurbanipal (a.k.a. Sardanapalus)","669 - 626","43",NULL,29
"Aššur-etil-ilāni","631 - 627","4",NULL,30
"Sîn-šar-iškun","627 - 612","15",NULL,31
"Ashur-uballit II","612 - 609","3",NULL,32
